language,model,family,sentences_evaluated,mean_ppl,std_ppl,ppl_lo95,ppl_hi95,mean_loss_nats,mean_loss_bits,mean_bpc,std_bpc,bpc_lo95,bpc_hi95,mean_entropy_bits,std_entropy_bits,entropy_lo95,entropy_hi95,mean_gzip_ratio,std_gzip_ratio,gzip_lo95,gzip_hi95,gzip_is_text_metric,mean_tokens_per_char,std_tokens_per_char,notes
fra,Qwen/Qwen2.5-1.5B,Fusional,50,17.97335554633367,13.4982407716175,14.70045952647549,22.290610678988333,2.6971364855766295,3.891145432342091,1.1436088314610755,0.2826632410670294,1.0623844442398658,1.223441007118941,3.8559600630763153,0.6844492992552027,3.6667919430765354,4.045248068731428,0.9564872826774257,0.15147986034460525,0.9152414343924503,0.9942995720177384,true,0.29025818472185255,0.0,
fra,unigram-char,Fusional,50,23.92179458791696,0.0,23.92179458791696,23.92179458791696,3.174789950846696,4.580253717950645,4.580253717950645,0.0,4.580253717950645,4.580253717950645,4.580253717950645,0.0,4.580253717950645,4.580253717950645,0.901289745881752,0.0,0.901289745881752,0.901289745881752,true,1.0,0.0,
fra,char-5gram,Fusional,50,34.346547321660665,0.0,34.346547321660665,34.346547321660665,3.5365014989631662,5.102093174650546,5.102093174650546,0.0,5.102093174650546,5.102093174650546,5.102093174650546,0.0,5.102093174650546,5.102093174650546,0.901289745881752,0.0,0.901289745881752,0.901289745881752,true,1.0,0.0,
fra,gpt2,Fusional,50,161.5613169977092,0.0,161.5613169977092,161.5613169977092,5.084884742418048,7.335938001378472,2.4768797856663802,0.0,2.4768797856663802,2.4768797856663802,6.988231624352166,0.0,6.988231624352166,6.988231624352166,0.901289745881752,0.0,0.901289745881752,0.901289745881752,true,0.3376364120308757,0.0,
fin,Qwen/Qwen2.5-1.5B,Agglutinative,50,68.57070786074698,73.97594071154228,52.11464877673593,91.85329359809828,3.9292133712768553,5.668656645335725,2.200474292149495,0.39642042662536364,2.088912224739247,2.309701855708388,5.058761454665493,0.6859780253248735,4.875728657927962,5.2442292567963005,0.980817331157047,0.160038586054544,0.9378322410743154,1.0221747826400318,true,0.38691940384893647,0.0,
fin,unigram-char,Agglutinative,50,22.72711014113287,0.0,22.72711014113287,22.72711014113287,3.123558491248134,4.506342345250295,4.506342345250295,0.0,4.506342345250295,4.506342345250295,4.506342345250295,0.0,4.506342345250295,4.506342345250295,0.920476858345021,0.0,0.920476858345021,0.920476858345021,true,1.0,0.0,
fin,char-5gram,Agglutinative,50,32.04244211255114,0.0,32.04244211255114,32.04244211255114,3.467061340036802,5.001912201728938,5.001912201728938,0.0,5.001912201728938,5.001912201728938,5.001912201728938,0.0,5.001912201728938,5.001912201728938,0.920476858345021,0.0,0.920476858345021,0.920476858345021,true,1.0,0.0,
fin,gpt2,Agglutinative,50,657.029133200681,0.0,657.029133200681,657.029133200681,6.487728360272703,9.359813532000114,3.93028199535007,0.0,3.93028199535007,3.93028199535007,8.836320042363699,0.0,8.836320042363699,8.836320042363699,0.920476858345021,0.0,0.920476858345021,0.920476858345021,true,0.41991028794675156,0.0,
zho_Hans,Qwen/Qwen2.5-1.5B,Isolating,50,44.03635871088878,51.76884269790804,31.975403318834807,59.046293972783175,3.427436180114746,4.944745180014956,3.4302484445942416,0.8303737843233177,3.225793099095531,3.6817801571445057,4.753079343606301,0.8517370707741724,4.5279641191316395,4.98641687613847,1.1719362829500946,0.14056452990886048,1.132150550629621,1.211346793487126,true,0.688663282571912,0.0,
zho_Hans,unigram-char,Isolating,50,373.26939783751413,0.0,373.26939783751413,373.26939783751413,5.9223004051627095,8.54407342518294,8.54407342518294,0.0,8.54407342518294,8.54407342518294,8.54407342518294,0.0,8.54407342518294,8.54407342518294,1.1161898673485695,0.0,1.1161898673485695,1.1161898673485695,true,1.0,0.0,
zho_Hans,char-5gram,Isolating,50,353.9923119631673,0.0,353.9923119631673,353.9923119631673,5.869275195279772,8.46757421784273,8.46757421784273,0.0,8.46757421784273,8.46757421784273,8.46757421784273,0.0,8.46757421784273,8.46757421784273,1.1161898673485695,0.0,1.1161898673485695,1.1161898673485695,true,1.0,0.0,
zho_Hans,gpt2,Isolating,50,37.694155227391704,0.0,37.694155227391704,37.694155227391704,3.629505048678802,5.236268934610363,9.834616780740275,0.0,9.834616780740275,9.834616780740275,5.031196989454664,0.0,5.031196989454664,5.031196989454664,1.1161898673485695,0.0,1.1161898673485695,1.1161898673485695,true,1.8781725888324874,0.0,
